Person,Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Approx Suspended
Nebraska Zoomer,America First,2022-05-23,Suspended,@NebraskaZoomer4,,,,,,2022-05-23
Nebraska Zoomer,America First,2022-05-27,Suspended,@HuskerChadly,,,,,,2022-05-19
Nebraska Zoomer,America First,2022-05-31,Suspended,@HeartlandChad,1530324982718517248,,,,2022-05-27,2022-05-31
Nebraska Zoomer,America First,2022-06-01,Suspended,@Gbrfan1Gbrfan,1531809984144711683,Nebraska Zoomer,61,,2022-05-31,2022-06-02
Nebraska Zoomer,America First,2022-06-05,Suspended,@zoomah_z,1532828951500009474,,,,2022-06-02,2022-06-05
Nebraska Zoomer,America First,2022-06-08,Suspended,@NebZoomer,,,,,,2022-06-08
Nebraska Zoomer,America First,2022-06-14,Suspended,@braskazoo,,,,,,2022-06-14
Nebraska Zoomer,America First,2022-07-23,Suspended,@CornHuskerW,,,,,,2022-07-24
Nebraska Zoomer,America First,2022-09-13,Suspended,@ChadHeartland,,,,,,2022-09-13
Nebraska Zoomer,America First,2022-09-23,Suspended,@NatefromNE2024,,,,,,2022-09-23
Nebraska Zoomer,America First,2022-10-07,Suspended,@IncelfromNe,,,,,,2022-10-07
Nebraska Zoomer,America First,2022-12-12,Suspended,@NNebzoomer,,,,,,2022-12-12
Nebraska Zoomer,America First,,Suspended,@Nebraska_Zoomer,,,,,,
New User/ Nick Fuentes clone,America First,2022-09-09,Suspended,@indognito6000,,,,,,2022-09-09
New User/ Nick Fuentes Clone,America First,2022-09-12,Suspended,@newuser60000,,,,,,2022-09-12
New User/ Nick Fuentes clone,America First,2022-09-13,Suspended,@newuser9999999,,,,,,2022-09-13
New User/Fuentes clone,America First,2022-10-29,Suspended,@dog6000000000,,,,,,2022-10-30
New User/Nick Fuentes clone,America First,2022-10-05,Suspended,@MrBeastAltAccou,,,,,,2022-10-05
New York Zoomer,America First,2022-03-15,Suspended,@newy0rkz00mer,1478942890923593733,newyorkzoomer,305,,2022-01-05,2022-03-18
New York Zoomer,America First,2022-03-22,Suspended,@newyorknicker,1506081340147519496,new york zoomer,168,,2022-03-22,2022-03-23
New York Zoomer,America First,2022-03-24,Suspended,@n3wyorkzoom3r,1507043879979298818,NYZ,29,,2022-03-24,2022-03-25
New York Zoomer,America First,2022-03-26,Suspended,@n3wy0rkz00m3r,1507804486881976322,nyz,12,,2022-03-26,2022-03-28
New York Zoomer,America First,2022-05-08,Suspended,@benadryl_addict,1519855275309735936,,,,2022-04-28,2022-05-08
New York Zoomer,America First,2022-05-20,Suspended,@nyzoomer,1527785403465465856,ny zoomer,125,,2022-05-20,2022-05-22
New York Zoomer,America First,2022-06-06,Suspended,@DPHabuser,1528495728473120774,,,,2022-05-22,2022-06-06
New York Zoomer,America First,2022-08-24,Suspended,@drivezoomer,,,,,,2022-08-24
New York Zoomer,America First,2022-08-26,Suspended,@hellcatzoomer,,,,,,2022-08-26
New York Zoomer,America First,2022-08-28,Suspended,@nocturnalzoomer,,,,,,2022-08-28
New York Zoomer,America First,2022-10-29,Suspended,@newyorkzoomr,,,,,,2022-10-30
Nick Fuentes,America First,2021-06-15,Suspended,@NickJFuentes,2442888666,Nicholas J. Fuentes,137847,,2014-04-13,2021-07-09
Nick Fuentes,America First,2021-10-23,Suspended,@raper6000,1415209907893178373,real incel,3954,,2021-07-14,2021-10-23
Nick Fuentes,America First,2021-11-14,Suspended,@cheeser3000,1455158989432528897,big cheese,2027,,2021-11-01,
Nick Fuentes,America First,2022-05-01,Suspended,@heyeveryone08,1518715267198693376,contentcreator_,,,2022-04-25,2022-05-01
Nick Fuentes,America First,2022-05-19,Suspended,@ToastedAlmonds0,,,,,,2022-05-19
Nick Fuentes,America First,2022-05-25,Suspended,@chumbucket5000,1528686650162806792,,,,2022-05-23,2022-05-25
Nick Fuentes,America First,2022-05-25,Suspended,@farmerkiller900,1527267569333329920,,,,2022-05-19,2022-05-23
Nick Fuentes,America First,2022-05-25,Suspended,@krabbypatty5000,,,,,,2022-05-23
Nick Fuentes,America First,2022-05-26,Suspended,@mrkrabs5000,1527775300469329920,,,,2022-05-20,2022-05-25
Nick Fuentes,America First,2022-05-26,Not Available,@MrKrabs9000,1528894468673372160,,,,2022-05-23,2022-05-26
Nick Fuentes,America First,2022-05-28,Suspended,@PunishedHooplah,1529700253619855360,,,,2022-05-25,2022-05-29
Nick Fuentes,America First,2022-05-29,Suspended,@PunishedKrabby,,,,,,2022-05-27
Nick Fuentes,America First,2022-05-30,Suspended,@pepsinitro3000,1530823544359337986,pepsi nitro,2566,,2022-05-29,2022-05-31
Nick Fuentes,America First,2022-06-01,Suspended,@NitroPunished,1532083597825429504,,1302,,2022-06-01,2022-06-02
Nick Fuentes,America First,2022-06-01,Suspended,@RapeNitro,1531567602530664448,,,,2022-05-31,2022-06-01
Nick Fuentes,America First,2022-06-05,Suspended,@wheresmydrink08,1532836201941827589,,,,2022-06-02,2022-06-07
Nick Fuentes,America First,2022-06-10,Suspended,@damagedgenius08,,,,,,2022-06-11
Nick Fuentes,America First,2022-06-11,Suspended,@ancientone8000,1534217450555858947,,,,2022-06-07,2022-06-08
Nick Fuentes,America First,2022-06-14,Suspended,@DamagedMinion08,,,,,,2022-06-14
Nick Fuentes,America First,2022-06-14,Suspended,@SadPersonOnline,1532087420040232960,,,,2022-06-01,2022-06-11
Nick Fuentes,America First,2022-06-16,Suspended,@minionfan2000,1536946810568294400,minion fan,1374,,2022-06-14,2022-06-17
Nick Fuentes,America First,2022-06-23,Suspended,@punishedbanana0,,,,,,2022-06-23
Nick Fuentes,America First,2022-06-30,Suspended,@dog60000,,,,,,2022-06-30
Nick Fuentes,America First,2022-07-05,Suspended,@miniboss2000,,,,,,2022-07-05
Nick Fuentes,America First,2022-07-08,Suspended,@richminion08,,,,,,2022-07-08
Nick Fuentes,America First,2022-07-15,Suspended,@punishedgru,,,,,,2022-07-15
Nick Fuentes,America First,2022-07-19,Suspended,@yeezygapminion,,,,,,2022-07-19
Nick Fuentes,America First,2022-07-25,Suspended,@richgenius9000,,,,,,2022-07-25
Nick Fuentes,America First,2022-07-26,Suspended,@iconicclassic08,,,,,,2022-07-26
Nick Fuentes,America First,2022-07-27,Suspended,@punishedicon,,,,,,2022-07-27
Nick Fuentes,America First,2022-08-09,Suspended,@solitarygenius0,,,,,,2022-08-10
Nick Fuentes,America First,2022-08-19,Suspended,@altincel08,,,,,,2022-08-19
Nick Fuentes,America First,2022-08-22,Suspended,@cloudman0,,,,,,2022-08-22
Nick Fuentes,America First,2022-08-26,Suspended,@incelbugman,,,,,,2022-08-26
Nick Fuentes,America First,2022-08-30,Suspended,@dog6000000,,,,,,2022-08-30
Nick Fuentes,America First,2022-09-04,Suspended,@nigga100000000,,,,,,2022-09-04
Nick Fuentes,America First,2022-09-13,Suspended,@neoincel08,,,,,,2022-09-13
Nick Fuentes,America First,2022-09-21,Suspended,@kinglegend9000,,,,,,2022-09-21
Nick Fuentes,America First,2022-09-24,Suspended,@packwatch2000,,,,,,2022-09-24
Nick Fuentes,America First,2022-09-30,Suspended,@BanishedIncel,,,,,,2022-09-30
Nick Fuentes,America First,2022-10-03,Suspended,@packlaugher08,,,,,,2022-10-03
Nick Fuentes,America First,2022-10-03,Suspended,@ultrapatriot08,,,,,,2022-10-03
Nick Fuentes,America First,2022-10-08,Suspended,@YeSoldier,,,,,,2022-10-08
Nick Fuentes,America First,2022-10-10,Suspended,@visionaryjenyus,,,,,,2022-10-10
Nick Fuentes,America First,2022-10-12,Suspended,@PnshdKanyeWest,,,,,,2022-10-12
Nick Fuentes,America First,2022-10-26,Suspended,@candaceowensimp,,,,,,2022-10-26
Nick Fuentes,America First,2022-10-26,Suspended,@halloweenghoul8,,,,,,2022-10-26
Nick Fuentes,America First,2022-10-28,Suspended,@spookygoblin8,,,,,,2022-10-30
Nick Fuentes,America First,2022-11-12,Suspended,@imreal490,,,,,,2022-11-12
Nick Fuentes,America First,2022-12-08,Suspended,@yungjenyus,,,,,,2022-12-08
Nick Fuentes,America First,2022-12-19,Suspended,@ye24marine,,,,,,2022-12-19
Nick Fuentes clone,America First,2022-10-12,Suspended,@MexiNitro,,,,,,2022-10-12
Nick Fuentes copy,America First,2022-04-29,Suspended,@RealNFuentes,1519431429091782656,Nicholas J. Fuentes,301,,2022-04-27,2022-04-30
Nick Fuentes proxy,America First,2022-04-10,Suspended,@NFOldTweets,1511129160378368001,Old Nick Fuentes Tweets,4674,,2022-04-04,2022-04-11
Nick Fuentes proxy,America First,2022-09-26,Suspended,@deletedfuentes,,,,,,2022-09-26
Nick Fuentes proxy,America First,2022-12-05,Active,@FreeNickFuentes,,,,,,
Nick Fuentes?,America First,2021-11-14,Suspended,@Volitil_,986125530603778048,McCheese ,3005,,2018-04-17,2021-11-14
njf defender,America First,2022-05-25,Suspended,@njfbestsoldier,1523040791047720961,njf defender,250,,2022-05-07,2022-05-26
njf defender,America First,2022-05-26,Suspended,@BurlapKnight,1509622502502375432,,,,2022-03-31,2022-05-24
njf defender,America First,2022-08-26,Suspended,@EsotericTatist,,,,,,2022-08-26
No Ban Groyper,America First,2022-01-13,Suspended,@NoBanGroyper,1208874837139218434,,,,2019-12-22,2022-01-13
No Ban Groyper,America First,2022-05-05,Suspended,@NBAyoungr0yper,1473764704426278920,(NeverBannedAgain)Gr0yper,544,,2021-12-22,2022-05-08
No Ban Groyper,America First,2022-05-25,Suspended,@Keking2DaBank,1523292935688704005,,,,2022-05-07,2022-05-25
No Ban Groyper,America First,2022-06-01,Suspended,@respawnedGoy,1529451395669270531,HighschoolSweetHart ,78,,2022-05-25,2022-06-02
Not Mack,America First,2022-05-26,Suspended,@NotmackM,1473822583678193665,,,,2021-12-22,2022-02-16
Not Mack,America First,2022-05-26,Suspended,@paranoidincel,1529488055215726592,Mach,107,,2022-05-25,2022-05-26
Not Manlet Zoomer,America First,2022-05-25,Suspended,@notmanletzoomer,1491179172701650947,,,,2022-02-08,2022-05-25
Not Manlet Zoomer,America First,2022-05-25,Suspended,@zoomermanlet,,,,,,2021-09-09
Nya,America First,2022-10-28,Suspended,@takovicfan,,,,,,
Nya,America First,2022-11-16,Suspended,@mrnya88,,,,,,2022-11-16
NZ BritBong,America First,2021-11-28,Suspended,@NZ_BritBong,1186128657212821504,,,,2019-10-21,2021-11-28
NZ BritBong,America First,2022-05-30,Suspended,@realNZBritBong,1470610567769452544,NZ BritBong,491,,2021-12-13,2022-05-31
NZ Britbong,America First,2022-06-13,Suspended,@KiwiBritBong,1535477772100829186,,,,2022-06-07,2022-06-13
NZ Britbong,America First,2022-07-27,Suspended,@PunishedBB,,,,,,2022-07-27
NZ Britbong,America First,2022-07-30,Suspended,@cozykiwi101,,,,,,2022-07-30
NZ Britbong,America First,2022-08-09,Suspended,@catholicnzbb,,,,,,2022-08-10
NZ Britbong,America First,2022-09-28,Suspended,@masterbritbong,,,,,,2022-09-28
NZ Britbong,America First,2022-11-04,Suspended,@NZBritBongX,,,,,,2022-11-06
NZ Britbong,America First,2022-11-18,Active,@NZBritBongXI,,,,,,
NZ Britbong,America First,2022-11-21,Suspended,@nzbritbongxii,,,,,,2022-11-21
NZ Britbong,America First,2022-11-29,Suspended,@NZBritBongXIII,,,,,,2022-11-29
Officer Groyper,America First,2022-06-14,Suspended,@bigpoopyautism,1408976260349448193,,,,2021-06-26,2022-06-14
Officer Groyper,America First,2022-06-14,Suspended,@OfficerGroyper,,,,,,
Oklahoma Groyper,America First,2021-10-27,Suspended,@oklahomagroyper,,,,,,2021-10-27
Oklahoma Groyper,America First,2022-06-25,Suspended,@oklahomagroypa,,,,,,2022-06-25
Oklahoma Groyper,America First,2022-06-30,Suspended,@RealWhiteBoyO7,,,,,,2022-06-30
Oklahoma Groyper,America First,2022-07-03,Suspended,@RealWhiteGoyo7,1543317678194135040,Oklahoma Groyper,41,7,2022-07-02,2022-07-04
Oklahoma Groyper,America First,2022-07-17,Suspended,@ScrubHatepage,,,,,,2022-07-17
Oklahoma Groyper,America First,2022-07-24,Suspended,@RealWhiteBoyOKG,,,,,,2022-07-24
Oklahoma Groyper,America First,2022-07-25,Suspended,@NotOKGroyp,,,,,,2022-07-25
Oklahoma Groyper,America First,2022-07-28,Suspended,@richwhiteminion,,,,,,2022-07-28
Oklahoma Groyper,America First,2022-08-13,Suspended,@punishedOKG,,,,,,2022-08-13
Oklahoma Groyper,America First,2022-10-03,Suspended,@OKGtheFROG,,,,,,2022-10-03
Oklahoma Groyper,America First,2022-10-05,Suspended,@OKGsBalls,,,,,,2022-10-05
Oklahoma Groyper,America First,2022-10-07,Suspended,@OKGsNUTs,,,,,,2022-10-07
Oklahoma Groyper,America First,2022-10-10,Suspended,@OKGsCOCK,,,,,,2022-10-10
Oklahoma Groyper,America First,2022-10-14,Suspended,@Clintgroypwood,,,,,,2022-10-14
Oklahoma Groyper,America First,2022-10-21,Suspended,@okgdingdong,,,,,,2022-10-21
Oklahoma Groyper,America First,2022-10-24,Suspended,@RepentZoomerz,,,,,,2022-10-24
Oklahoma Groyper,America First,2022-11-10,Suspended,@OKGwaffen,,,,,,2022-11-10
Oklahoma Groyper,America First,2022-11-16,Suspended,@OKGsGlock,,,,,,2022-11-16
Oklahoma Groyper,America First,2022-11-19,Suspended,@OKGhood,,,,,,2022-11-19
Oklahoma Groyper,America First,2022-12-16,Suspended,@FletchGroyper,,,,,,2022-12-16
Oregon Zoomer,America First,2021-07-11,Suspended,@oregonzoomer,1264934259174735879,OregonGroyper #MAGA ,14,,2020-05-25,2022-05-26
Oregon Zoomer,America First,2022-05-26,Suspended,@oregon_zoomer,1518690698169446400, OregonZoomer ,192,,2022-04-25,2022-05-26
Oregon Zoomer,America First,2022-05-26,Suspended,@oregongroyper,1204287241834524673,,,,2019-12-09,2021-11-04
Oregon Zoomer,America First,2022-05-29,Suspended,@HunterAvalone,1530008675519037440,,,,2022-05-26,2022-05-29
Oregon Zoomer,America First,2022-06-02,Suspended,@StevenBonnelll,1531077774898782209,OregonZoomer,22,,2022-05-29,2022-06-02
Oregon Zoomer,America First,2022-06-09,Suspended,@brandon3245765,1532951126118518785,,,,2022-06-02,2022-06-09
Oregon Zoomer,America First,2022-07-13,Suspended,@AmericnVirtue,,,,,,2022-07-13
Oregon Zoomer,America First,2022-07-18,Suspended,@searedbyte,,,,,,2022-07-18
Oregon Zoomer,America First,2022-07-26,Suspended,@NihaoVinceDao,,,,,,2022-07-26
Oregon Zoomer,America First,2022-07-28,Suspended,@FryBurner6,,,,,,2022-07-28
Oregon Zoomer,America First,2022-07-30,Suspended,@KFC_Afghanistan,,,,,,2022-07-30
Oregon Zoomer,America First,2022-08-02,Suspended,@PizzaSchmizza_,,,,,,2022-08-02
Oregon Zoomer,America First,2022-08-04,Suspended,@Burgerville_,,,,,,2022-08-04
Oregon Zoomer,America First,2022-08-06,Suspended,@elmers_uk,,,,,,2022-08-06
Oregon Zoomer,America First,2022-08-27,Suspended,@Comfy_stream,,,,,,2022-08-27
Party Goy,America First,2021-02-27,Suspended,@PartyGoy,,,,,,2021-02-27
Party Goy,America First,2022-06-17,Suspended,@GothBrah,,,,,,2022-06-17
Party Goy,America First,2022-06-22,Suspended,@ignantgoy,,,,,,2022-06-22
Pashtun Groyper,America First,2022-05-02,Suspended,@cozyincelfreak,1520493458678599681,pashtun,174,,2022-04-30,2022-05-04
Pashtun Zoomer,America First,2022-04-27,Suspended,@lonerincelfreak,1514680223362695174,Pqshtun,203,,2022-04-14,2022-04-28
Pasty,America First,2022-05-21,Suspended,@gelatinousgoy,1527385704010895365,P4STY,150,,2022-05-19,2022-05-21
Pasty,America First,2022-05-25,Suspended,@misatoarmpitswt,1529457663167324162,asty,83,,2022-05-25,2022-05-26
Pasty,America First,2022-06-19,Suspended,@incelfellow88,,,,,,2022-06-19
Pasty,America First,2022-06-20,Suspended,@contentmagnate,,,,,,
Pasty,America First,2022-06-21,Suspended,@sandyhookv1ctim,,,,,,2022-06-21
Pasty,America First,2022-06-22,Suspended,@imprisonedincel,,,,,,2022-06-22
Pasty,America First,2022-06-23,Suspended,@tiredmagnate,,,,,,2022-06-23
Pasty,America First,2022-06-25,Suspended,@unhingedrapist,,,,,,2022-06-25
Pasty,America First,2022-06-29,Suspended,@polopilled,,,,,,2022-06-29
Pat Buchanan Fan,America First,2021-12-05,Suspended,@pjb_fan,,,,,,
Pat Buchanan Fan,America First,2022-11-28,Suspended,@Real_PBF,,,,,,2022-11-28
Paul Escandon,America First,2022-10-29,Suspended,@mediapending,,,,,,
Paul Escandon,America First,2022-12-16,Suspended,@shaulfren,,,,,,2022-12-16
Paul Gosar Fan,America First,2022-04-26,Suspended,@BasedGosarFan,1357877877773979649,,,,2021-02-05,2022-04-26
Paul Gosar Fan,America First,2022-04-30,Suspended,@GosarGroyper,1516987668000698370,,,,2022-04-20,
Paul Gosar Fan,America First,2022-05-10,Suspended,@PaulGosarFanAZ,1521292142248820737,,,,2022-05-02,
Paul Gosar Fan,America First,2022-05-25,Suspended,@WAStateGosarFan,1524015939204751360,WA State Gosar Fan,282,,2022-05-10,2022-05-26
Paul Gosar Fan,America First,2022-06-14,Suspended,@GosarSupporter,1531824100712148992,,,,2022-05-31,2022-06-14
Paul Gosar Fan,America First,2022-06-25,Suspended,@AZ_Dentist_Fan,,,,,,2022-06-25
Paul Town,America First,2022-09-12,Suspended,@kingpaul95_,,,,,,2022-09-12
Paul Town,America First,2022-09-13,Suspended,@LifeOfIPT,,,,,,2022-09-13
Paul Town,America First,2022-10-14,Suspended,@jeema9,,,,,,2022-10-14
Paul Town,America First,2022-10-17,Suspended,@SkallasTown,,,,,,2022-10-17
Paul Town,America First,2022-10-26,Suspended,@BronzeAidsPerv,,,,,,2022-10-26
Paul Town,America First,2022-11-21,Suspended,@realguypaultown,,,,,,2022-11-21
Paul Town(PT),America First,2022-08-07,Suspended,@mrtown_,,,,,,
Paul Town(PT),America First,2022-09-10,Suspended,@kingtroll95,,,,,,2022-09-10
Peanut Arbuckle,America First,2022-10-17,Suspended,@ObeseIncelGroyp,,,,,,2022-10-17
Peanut Arbuckle,America First,,Suspended,@AllPatriotsGO,,,,,,
Penn G,America First,2022-02-24,Suspended,@BasedNotQban,1363836912696459264,,,,2021-02-22,2022-02-24
Penn G,America First,2022-05-08,Suspended,@PPennamite,1473751465604882444,,,,2021-12-22,2022-05-08
Penn G,America First,2022-05-25,Suspended,@PunishedPenn,1524201616903188481,,,,2022-05-10,2022-05-25
Penn G,America First,2022-06-01,Suspended,@WPP67,1530744647441600512,WPP-6,67,,2022-05-28,2022-06-02
Penn G,America First,2022-06-25,Suspended,@pwppv8,,,,,,2022-06-25
Pepejaa,America First,2022-05-26,Suspended,@pepeshaah,1489134004557078531,Pepejaa,204,,2022-02-03,2022-05-27
Pepejaa,America First,2022-06-01,Suspended,@justin__egger,1530165851030048768,Pepehaa,77,,2022-05-27,2022-06-02
Pepejaa,America First,2022-06-01,Suspended,@pehpejaa,1530173295076577280,,,,2022-05-27,2022-06-01
Pepejaa,America First,2022-06-06,Suspended,@aajepeP,,,,,,2022-06-06
PG,America First,2021-02-26,Suspended,@Grand_Regent,,,,,,2021-02-26
PG,America First,2022-06-22,Suspended,@SoCalEmo,,,,,,2022-06-22
Philly Groyper,America First,2020-10-30,Suspended,@phillygroyper,1017993569796329472, Philly Groyper ,,,2018-07-13,2020-07-05
Philly Groyper,America First,2022-06-14,Suspended,@PhillyGroyperV2,1532983385077030913,,,,2022-06-02,2022-06-14
Philly Groyper,America First,2022-06-25,Suspended,@GroyperCozy,,,,,,2022-06-25
Philly Zoomer,America First,2021-11-15,Suspended,@PhillyZoomer,1066809105384464385,Philly Zoomer,541,,2018-11-25,2021-12-04
Philly Zoomer,America First,2022-04-27,Suspended,@Philly_Zoomer,1478861229728976899,Philly Zoomer,663,,2022-01-05,2022-04-29
Philly Zoomer,America First,2022-08-10,Suspended,@saudifuturism,,,,,,2022-08-10
PhillyFren,America First,2020-07-11,Suspended,@phillyfren,1280186656600068100,Philly Phren,556,,2020-07-06,
PhillyFren,America First,2020-09-23,Suspended,@PhillyVonFren,823690267622576128,  ,766,,2017-01-23,
PhillyFren,America First,2020-10-20,Suspended,@PhillyVonPoopee,1311672350904143875,   ,134,,2020-10-01,
Pilled Brah,America First,2021-12-05,Suspended,@obamapilled,1399414933046140937,,,,2021-05-31,2021-12-05
Pilled Brah,America First,2022-06-16,Suspended,@obamapills,1468062117760671744,PilledBrah(he/him),638,,2021-12-06,2022-06-16
Pilled Brah,America First,2022-06-20,Suspended,@LipitorPill,,,,,,2022-06-20
Pilled Brah,America First,2022-06-21,Suspended,@AdvilPfizer,,,,,,2022-06-21
Pilled Brah,America First,2022-06-22,Suspended,@PfizerPill,,,,,,2022-06-22
Pilled Brah,America First,2022-08-22,Suspended,@PunishedSaitama,,,,,,2022-08-22
Pilled Brah,America First,2022-08-23,Suspended,@imposter9000,,,,,,2022-08-23
Pilled Brah,America First,2022-08-25,Suspended,@lozengedrops,,,,,,2022-08-25
Plantation Groyper,America First,2021-11-25,Suspended,@southgagroyper,,,,,,2021-11-25
Plantation Groyper,America First,2022-07-12,Suspended,@Plantationfren,,,,,,2022-07-12
Pontifex,America First,2022-03-28,Suspended,@punipapalaurent,1498438311211274241, ,55,,2022-02-28,2022-03-29
Pontifex,America First,2022-05-25,Suspended,@Papa_Zoomer,1521575634241212417,,,,2022-05-03,2022-05-25
Poopy Doopy Zoomer,America First,2022-08-10,Suspended,@real_pdz_,,,,,,
Poopy Doopy Zoomer,America First,2022-08-30,Suspended,@_Famous_Nobody_,,,,,,2022-08-30
Poopy Doopy Zoomer,America First,2022-09-05,Suspended,@__pdz__,,,,,,2022-09-05
Poopy Doopy Zoomer,America First,2022-09-05,Suspended,@_pdz_,,,,,,
Poopy Doopy Zoomer,America First,2022-09-08,Suspended,@__pdz_,,,,,,2022-09-08
Poopy Doopy Zoomer,America First,2022-09-10,Left up after Review,@Trevi16,,,,,,Twitter left up
Poopy Doopy Zoomer,America First,2022-09-11,Suspended,@_poopy_doopy,,,,,,2022-09-11
Poopy Doopy Zoomer,America First,2022-09-15,Suspended,@_zpd__,,,,,,2022-09-15
Poopy Doopy Zoomer,America First,2022-09-24,Suspended,@___p__d__z_____,,,,,,2022-09-24
Poopy Doopy Zoomer,America First,2022-09-30,Suspended,@Spooky_Doopy,,,,,,2022-09-30
Poopy Doopy Zoomer,America First,2022-10-03,Suspended,@exiled_incl,,,,,,2022-10-03
Poopy Doopy Zoomer,America First,2022-10-05,Suspended,@SpookyDoopy101,,,,,,2022-10-05
Poopy Doopy Zoomer,America First,2022-10-07,Suspended,@poopdoopandzoom,,,,,,2022-10-07
Poopy Doopy Zoomer,America First,2022-10-12,Suspended,@Faceless_indvdl,,,,,,2022-10-12
Poopy Doopy Zoomer,America First,2022-10-19,Suspended,@Y0ung_prodigy_,,,,,,2022-10-19
Poopy Doopy Zoomer,America First,2022-10-21,Suspended,@welcomebackpdz,,,,,,2022-10-21
Poopy Doopy Zoomer,America First,2022-10-26,Suspended,@Exilled_Incel,,,,,,2022-10-26
Poopy Doopy Zoomer,America First,2022-10-31,Suspended,@realPoopyDoopyZ,,,,,,2022-11-01
Poopy Doopy Zoomer,America First,2022-11-12,Request review,@SnowyIncel,,,,,,
Poopy Doopy Zoomer,America First,2022-11-21,Active,@giganigarapist,,,,,,
Prince,America First,2022-06-11,Suspended,@afrencollector,,,,,,2022-06-11
Prince,America First,2022-06-11,Suspended,@ELVENPRINC3,1409725913370136580,,,,2021-06-29,2022-03-11
Principled Gropyer,America First,2022-05-31,Suspended,@apgloyper,1530994141273939968,,,,2022-05-29,2022-05-31
Principled Gropyer,America First,2022-06-01,Suspended,@quirkedupgroypa,,,,,,2022-06-01
Principled Gropyer,America First,2022-06-06,Suspended,@principledgr0yp,,,,,,2022-06-06
Principled Groyper,America First,2021-12-06,Suspended,@aprincipledman,1360434627463155713,,,,2021-02-13,2021-12-06
Principled Groyper,America First,2022-04-27,Suspended,@principledgloyp,1518723239853182976,A Principled Groyper,910,,2022-04-25,2022-04-27
Principled Groyper,America First,2022-05-25,Suspended,@APRlNCIPLDGROYP,1529583450667134976,A PrincipIed Groyper,242,,2022-05-25,2022-05-26
Principled Groyper,America First,2022-05-27,Suspended,@aprncpledgroyp,,,,,,2022-05-27
Principled Groyper,America First,2022-06-09,Suspended,@nickophantic,1533958976315998209,,,,2022-06-06,2022-06-09
Psi,America First,2022-06-05,Suspended,@IncelNigga,1532836050481164288,,,,2022-06-02,2022-06-05
Psi,America First,2022-06-06,Suspended,@ImIncel,,,,,,2022-06-06
Psi,America First,2022-06-09,Suspended,@incelgroyp,1533916151973130241,,,,2022-06-06,2022-06-08
Psi,America First,2022-06-09,Suspended,@IncelTrump,1534471460571553792,,,,2022-06-07,2022-06-09
Psi,America First,2022-06-15,Suspended,@TheLifeOfIncel,1534961811371569153,,,,2022-06-07,2022-06-15
"Punished ""Cozy"" Percival",America First,2022-05-25,Suspended,@cryptotarded,1361625418382540802,,,,2021-02-16,2021-08-15
"Punished ""Cozy"" Percival",America First,2022-05-25,Suspended,@percival_cozy,1522602507943391232,,,,2022-05-06,2022-05-25
"Punished ""Cozy"" Percival;Cozy Percival",America First,2022-05-25,Suspended,@cozy_percival,1529496750356107265,,,,2022-05-25,2022-06-06
Punished Texan,America First,2021-02-11,Suspended,@PunishedTexan,1339983313440821250,,,,2021-12-18,
Punished Texan,America First,2022-05-15,Suspended,@glunishedGlexan,1522695489661067264,,,,2022-05-06,2022-05-15
Punished Vader,America First,2022-11-17,Suspended,@PunishedVader_,,,,,,
Punished Vader,America First,2022-11-28,Suspended,@VaderPunished_,,,,,,2022-11-28
Punished Vader,America First,2022-11-29,Suspended,@VaderPunished_1,,,,,,2022-11-29
PZ,America First,2021-11-04,Suspended,@proud__zoomer,1276602805533339648,PZ,49,,2020-06-26,2021-11-04
PZ,America First,2022-03-12,Suspended,@PashtunIncel,1494086324101472256,PZ,91,,2022-02-16,2022-03-14
PZ,America First,2022-03-13,Suspended,@Pashtuncel,1502824727504695302,PZ,39,,2022-03-12,2022-03-14
PZ,America First,2022-03-14,Suspended,@Pzfren,1503451807137386511,Pashtun,44,,2022-03-14,2022-03-16
PZ,America First,2022-05-25,Suspended,@proudz00mer,1393898013391605766,PZ,101,,2021-05-16,2022-05-26
PZ,America First,2022-06-01,Suspended,@pzontheapp,1530291760470970368,,67,,2022-05-27,2022-06-02
PZ,America First,2022-06-15,Suspended,@PZ8000,1534614191532675072,,,,2022-06-07,2022-06-15
PZ,America First,2022-06-17,Suspended,@punishedPZ,,,,,,2022-06-17
PZ,America First,2022-06-23,Suspended,@malerapist,,,,,,2022-06-23
PZ,America First,2022-06-25,Suspended,@broodingincel,,,,,,2022-06-25
PZ,America First,2022-06-30,Suspended,@cathtaliban,,,,,,2022-06-30
PZ,America First,2022-07-01,Suspended,@coldracist,,,,,,2022-07-01
PZ,America First,2022-07-01,Not Available,@teslaracist,,,,,,2022-07-01
PZ,America First,2022-07-02,Suspended,@warmracist,,,,,,2022-07-02
PZ,America First,2022-07-06,Suspended,@derangedincel,,,,,,2022-07-06
PZ,America First,2022-07-07,Suspended,@incelextremist,,,,,,2022-07-07
PZ,America First,2022-07-09,Suspended,@onlineincel,,,,,,2022-07-09
PZ,America First,2022-07-12,Suspended,@harmlessfren,,,,,,2022-07-12
PZ,America First,2022-07-15,Suspended,@penguincel88,,,,,,2022-07-15
PZ,America First,2022-07-17,Suspended,@user16539191526,,,,,,2022-07-17
PZ,America First,2022-07-20,Suspended,@clubfrenguin,,,,,,2022-07-20
PZ,America First,2022-07-24,Suspended,@euphoriafan420,,,,,,2022-07-24
